x,y,z
13.4,-4.8,19.2
13.2,-3.6,17.7
13.2,-5.3,19.2
13.2,-4.2,19.4
13.2,-4.5,17.1
13.2,-4.4,18.1
13.2,-5.0,19.4
13.0,-4.6,18.7
13.5,-4.0,18.4
13.4,-4.5,18.8
12.9,-4.6,18.9
12.8,-5.9,18.4
13.0,-5.7,18.0
13.6,-4.8,19.4
13.9,-6.7,18.7
13.9,-6.5,17.8
15.1,-6.4,19.0
15.9,-6.3,16.6
16.3,-7.0,15.5
17.1,-6.4,16.1
17.6,-5.8,15.5
17.8,-5.2,14.7
18.5,-4.5,11.9
19.3,-3.5,11.4
19.6,-2.3,11.8
19.8,-0.3,9.2
20.3,2.2,8.3
20.8,4.2,6.4
21.3,7.2,6.5
21.9,11.0,8.5
22.0,14.7,8.7
21.6,18.8,8.4
21.4,22.0,10.3
21.0,25.9,12.7
20.3,26.3,15.0
20.5,25.5,15.8
20.3,26.0,16.0
20.6,25.7,15.2
20.9,23.1,14.3
20.7,19.2,9.1
21.2,14.8,9.7
21.4,10.6,8.4
20.8,7.5,7.9
20.6,3.3,7.8
20.3,1.7,8.2
19.6,-0.3,9.9
19.7,-1.4,8.8
19.3,-3.6,10.3
18.3,-4.2,11.7
17.8,-5.2,11.8
17.4,-5.6,13.8
16.7,-6.1,14.1
16.5,-6.9,15.1
15.8,-7.7,16.3
15.6,-7.2,15.6
15.0,-7.6,17.3
14.6,-7.8,19.1
13.9,-6.8,19.1
13.8,-5.9,19.0
13.7,-5.8,18.4
13.3,-5.3,19.6
13.1,-5.5,18.6
13.2,-4.8,19.6
12.6,-3.7,21.5
13.2,-5.2,20.0
12.9,-4.0,20.5
12.8,-4.7,19.9
12.8,-4.3,18.8
12.9,-5.0,18.3
13.1,-4.5,19.6
13.1,-4.6,18.1
13.1,-4.2,19.3
12.8,-4.1,19.0
13.1,-5.2,18.9
13.0,-4.4,19.3
13.1,-4.1,20.1
