x,y,z
-24.4,-42.0,-100.1
-24.7,-41.9,-99.9
-24.5,-41.9,-99.3
-24.8,-41.8,-99.2
-24.6,-42.1,-99.6
-24.6,-42.2,-99.3
-24.3,-42.0,-99.2
-24.1,-41.6,-99.4
-23.7,-42.0,-99.5
-23.9,-42.5,-99.1
-23.9,-42.9,-98.6
-23.2,-42.8,-98.8
-23.0,-43.0,-99.3
-22.3,-43.2,-99.7
-22.0,-43.5,-99.4
-21.7,-43.4,-100.1
-21.0,-42.8,-100.4
-20.4,-42.9,-100.8
-20.0,-42.0,-101.6
-19.7,-41.5,-101.5
-18.8,-40.3,-102.4
-18.5,-38.9,-103.0
-18.1,-37.8,-103.2
-18.1,-36.4,-103.1
-18.0,-35.3,-103.2
-18.0,-33.5,-103.0
-18.1,-31.7,-102.5
-18.4,-30.8,-101.4
-18.9,-29.9,-100.4
-19.0,-29.7,-100.1
-18.9,-29.5,-100.0
-18.5,-29.9,-101.1
-18.6,-31.4,-102.0
-17.9,-34.1,-102.8
-17.9,-36.9,-103.5
-18.7,-39.4,-103.1
-19.2,-40.9,-102.4
-19.5,-41.7,-102.5
-19.7,-42.5,-101.5
-20.7,-43.6,-101.0
-21.1,-43.4,-100.7
-21.5,-43.9,-100.1
-22.1,-43.5,-99.7
-22.5,-43.2,-99.5
-23.2,-43.1,-99.5
-23.1,-43.4,-98.8
-23.4,-42.9,-98.8
-23.5,-42.9,-98.9
-23.8,-42.9,-98.8
-23.5,-42.4,-99.2
-24.0,-42.2,-99.0
-24.1,-42.2,-99.3
-23.8,-42.3,-99.1
-24.1,-42.1,-99.1
-24.0,-42.1,-99.4
-24.6,-42.1,-99.4
-24.5,-42.3,-99.4
-24.3,-42.4,-99.1
-24.2,-42.6,-99.1
